time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
366,0.0118081,12.5062,0.011808,875.393,360.107,0.432735
367,0.0118067,12.496,0.0118066,875.485,360.359,0.432087
368,0.0118052,12.4858,0.0118051,875.576,360.612,0.431428
369,0.0118038,12.4756,0.0118037,875.667,360.867,0.430759
370,0.0118023,12.4655,0.0118022,875.757,361.123,0.430079
371,0.0118009,12.4553,0.0118008,875.847,361.381,0.429388
372,0.0117995,12.4452,0.0117994,875.937,361.64,0.428685
373,0.011798,12.4351,0.0117979,876.027,361.901,0.427971
374,0.0117966,12.4251,0.0117965,876.116,362.163,0.427246
375,0.0117952,12.415,0.0117951,876.204,362.428,0.426509
376,0.0117938,12.4049,0.0117937,876.293,362.694,0.425761
377,0.0117924,12.3949,0.0117923,876.381,362.962,0.425
378,0.011791,12.3849,0.0117909,876.469,363.232,0.424227
379,0.0117896,12.3749,0.0117896,876.556,363.504,0.423442
380,0.0117883,12.365,0.0117882,876.643,363.779,0.422644
381,0.0117869,12.355,0.0117868,876.73,364.055,0.421833
382,0.0117855,12.3451,0.0117855,876.816,364.334,0.42101
383,0.0117842,12.3352,0.0117841,876.902,364.616,0.420172
384,0.0117829,12.3253,0.0117828,876.988,364.899,0.419322
385,0.0117815,12.3154,0.0117814,877.073,365.186,0.418457
386,0.0117802,12.3056,0.0117801,877.159,365.475,0.41758
387,0.0117789,12.2958,0.0117788,877.243,365.766,0.416688
388,0.0117776,12.286,0.0117775,877.328,366.061,0.415781
389,0.0117763,12.2762,0.0117762,877.412,366.358,0.414859
390,0.011775,12.2665,0.0117749,877.496,366.658,0.413922
391,0.0117737,12.2567,0.0117736,877.58,366.962,0.412971
392,0.0117724,12.247,0.0117724,877.663,367.269,0.412003
393,0.0117712,12.2373,0.0117711,877.746,367.579,0.41102
394,0.0117699,12.2277,0.0117699,877.829,367.892,0.410019
395,0.0117687,12.2181,0.0117686,877.911,368.209,0.409003
396,0.0117675,12.2085,0.0117674,877.994,368.529,0.407969
397,0.0117663,12.1989,0.0117662,878.076,368.854,0.406917
398,0.011765,12.1893,0.011765,878.157,369.182,0.405849
399,0.0117639,12.1798,0.0117638,878.239,369.514,0.404761
400,0.0117627,12.1703,0.0117626,878.32,369.85,0.403655
401,0.0117615,12.1608,0.0117614,878.401,370.19,0.40253
402,0.0117603,12.1514,0.0117603,878.481,370.535,0.401385
403,0.0117592,12.1419,0.0117591,878.561,370.884,0.40022
